id,tender_number,score,recommendation,reasoning,scored_at
311,"2026/52/و إ ت ع/ م ر -16",90,MUST_BID,"The tender is for substantial construction works in ports and roads, with a high fee and excellent grade, making it a prime opportunity for SCC.","2026-05-19 02:09:30.919985"
312,"2026/24/م م ب/ م ر -24",20,SKIP,"The tender is for a small-scale sports construction project with a fee of 25 OMR and a grade of Second/Third, which is below SCC's operating scale.","2026-05-19 02:09:41.192187"
313,"2026/52/م م/ م ك-44",35,SKIP,"The tender involves construction of ports and roads but is graded Second/Third, which is below SCC's operational standards.","2026-05-19 02:09:41.194025"
314,"2026/1843/و ص/ م ر -126",70,STRONG_FIT,"This tender is for electromechanical work with an Excellent/First grade, indicating a good fit for SCC's capabilities despite the category mismatch.","2026-05-19 02:09:41.194344"
315,"2026/1830/و ص/م ع ب ر م-59",50,CONSIDER,"The tender is for construction work with a First/Second grade, making it a partial match for SCC, but the lack of fee information raises concerns.","2026-05-19 02:09:41.194646"
316,"2026/10/ه ع ا أ/ م ر -6",20,SKIP,"This tender is for fit-out and furnishing, which falls under small-scale maintenance work, thus not aligning with SCC's core capabilities.","2026-05-19 02:09:41.194947"
317,"2026/16/و ق ع/ م ر -15",85,STRONG_FIT,"This tender involves civil maintenance work under an Excellent grade, aligning well with SCC's capabilities.","2026-05-19 02:09:50.969073"
318,"2026/57/ه ب/ م ر -10 - اعادة طرح - 1",20,SKIP,"The tender is graded Second/Third and has a low fee, making it a poor fit for SCC.","2026-05-19 02:09:50.970932"
319,"2026/101/ه ب/ م ر -20",20,SKIP,"This tender is also graded Second/First with a low fee, which does not align with SCC's operational scale.","2026-05-19 02:09:50.971322"
320,"2026/217/و ت أ/ م ر -16",30,WATCH,"Although it is a First grade tender, the scope is limited to interior renovations, which is not a core area for SCC.","2026-05-19 02:09:50.971655"
321,"2025/160/م م ش ب/ م ر -67 - اعادة طرح - 1",90,MUST_BID,"This Excellent/First grade tender involves construction of ports, roads, and bridges, which are core capabilities for SCC.","2026-05-19 02:09:50.972072"
322,"2026/23/م و/ م ر -2",20,SKIP,"The tender is graded Second, Third and has a low fee, making it unsuitable for SCC's capabilities.","2026-05-19 02:12:27.579880"
323,"2026/9/ج س ق/ م ر -9",70,STRONG_FIT,"This tender is graded Excellent, First and aligns well with SCC's capabilities, despite some competition.","2026-05-19 02:12:27.580225"
324,"2026/280/و ت ت/ م ر -36",20,SKIP,"The tender is only graded Second and has a low fee, which does not meet SCC's operational standards.","2026-05-19 02:12:27.580520"
325,"2026/281/و ت ت/م ع م و-5",20,SKIP,"This tender is for a construction project with a grade of Second and a fee below 30 OMR, making it unsuitable for SCC's capabilities.","2026-05-19 02:12:31.831013"
326,"2026/279/و ت ت/م ع م و-4",20,SKIP,"Similar to the previous tender, this maintenance work is also classified as Second grade with a fee below 30 OMR, which does not align with SCC's operational scale.","2026-05-19 02:12:31.831548"
327,"2026/54/م م/ م ك-46",90,MUST_BID,"The tender involves construction of ports, roads, and bridges, which are core areas for SCC, and the Excellent/First grade supports a strong bidding position.","2026-05-19 02:10:00"
328,"2026/55/م م/ م ك-47",90,MUST_BID,"Similar to the previous tender, this project aligns with SCC's core capabilities and offers a strong competitive advantage due to its Excellent/First grade.","2026-05-19 02:10:00"
329,"2026/104/ه ب/ م ر -22",20,SKIP,"This tender is for a Second/Third grade project with a low fee, making it unsuitable for SCC's capabilities and scale.","2026-05-19 02:10:00"
330,"2026/105/ه ب/ م ر -23",20,SKIP,"Similar to the previous tender, this involves maintenance services under a Second/Third grade, which does not align with SCC's operational focus.","2026-05-19 02:10:00"
